Id,SalePrice
1461,120726.06
1462,160945.33
1463,177724.8
1464,183060.83
1465,191225.23
1466,175046.64
1467,165861.64
1468,161761.14
1469,196267.38
1470,125525.555
1471,203267.16
1472,96473.55
1473,92369.93
1474,157910.27
1475,135787.2
1476,379843.2
1477,263406.75
1478,297716.8
1479,265014.03
1480,520174.3
1481,331007.56
1482,210725.11
1483,165549.11
1484,169564.78
1485,179771.98
1486,191486.58
1487,345664.7
1488,239340.58
1489,202479.9
1490,218817.8
1491,190215.83
1492,89560.12
1493,191432.42
1494,297770.12
1495,298114.53
1496,230707.4
1497,182182.2
1498,168452.69
1499,169662.33
1500,151817.27
1501,167795.62
1502,163148.0
1503,289094.3
1504,227083.9
1505,217915.14
1506,198060.97
1507,232037.17
1508,191736.52
1509,167179.83
1510,148475.19
1511,145366.9
1512,183920.78
1513,147012.06
1514,175727.56
1515,194416.64
1516,163774.11
1517,157090.44
1518,137459.34
1519,226660.31
1520,132405.14
1521,138004.14
1522,164668.0
1523,109450.44
1524,126913.61
1525,124146.57
1526,126412.05
1527,106119.31
1528,134619.77
1529,149773.89
1530,183372.02
1531,100758.63
1532,103273.99
1533,142144.19
1534,123217.43
1535,147472.75
1536,110001.484
1537,77016.22
1538,181947.33
1539,206494.0
1540,87160.28
1541,138137.08
1542,128939.69
1543,225100.02
1544,74206.836
1545,107577.9
1546,127410.88
1547,125656.92
1548,135442.14
1549,117040.66
1550,138711.19
1551,119714.77
1552,130322.37
1553,151434.95
1554,106529.0
1555,159601.2
1556,72436.19
1557,117227.375
1558,96789.96
1559,84089.59
1560,137297.48
1561,145544.14
1562,128994.54
1563,121534.16
1564,160766.84
1565,145468.33
1566,220688.52
1567,75405.82
1568,214555.53
1569,134646.02
1570,128347.59
1571,124983.52
1572,149687.9
1573,249611.66
1574,125575.234
1575,228708.55
1576,218269.81
1577,191839.52
1578,144763.36
1579,144433.7
1580,189858.56
1581,147103.34
1582,126108.03
1583,341414.62
1584,233335.17
1585,140878.02
1586,77934.92
1587,101124.63
1588,148360.0
1589,104623.23
1590,136975.1
1591,101925.14
1592,121313.26
1593,133607.44
1594,114638.805
1595,114047.76
1596,243346.9
1597,187923.62
1598,217326.6
1599,197431.38
1600,192146.31
1601,78879.86
1602,106317.92
1603,99394.984
1604,282320.75
1605,245067.23
1606,166209.45
1607,178576.5
1608,219392.52
1609,188056.17
1610,150727.56
1611,144832.0
1612,169144.81
1613,155861.39
1614,126068.38
1615,90720.42
1616,71281.65
1617,92894.95
1618,125322.6
1619,138154.73
1620,152063.16
1621,127968.12
1622,144567.27
1623,302205.38
1624,208950.98
1625,132579.38
1626,168152.58
1627,180629.89
1628,287817.6
1629,182852.52
1630,390876.97
1631,232819.47
1632,256773.56
1633,172126.75
1634,182581.72
1635,183955.33
1636,153780.56
1637,172263.72
1638,212915.61
1639,179290.81
1640,258497.72
1641,177271.56
1642,213905.69
1643,214826.36
1644,222559.1
1645,186403.94
1646,153736.31
1647,170589.55
1648,134883.23
1649,136199.64
1650,121772.46
1651,128869.56
1652,96626.625
1653,97981.72
1654,156930.45
1655,157137.48
1656,149196.61
1657,151101.08
1658,150027.56
1659,141449.95
1660,150189.17
1661,451268.25
1662,433968.22
1663,384736.97
1664,327757.22
1665,304153.94
1666,331005.4
1667,355233.3
1668,322523.47
1669,298590.62
1670,355903.06
1671,253425.89
1672,482224.97
1673,295141.72
1674,245282.19
1675,178718.94
1676,185974.88
1677,213776.22
1678,444280.38
1679,378435.06
1680,320138.72
1681,249274.72
1682,305822.75
1683,176590.56
1684,173326.14
1685,171040.39
1686,174758.06
1687,168511.36
1688,185055.45
1689,187722.02
1690,188069.11
1691,178678.7
1692,274883.94
1693,170502.66
1694,180334.55
1695,167878.83
1696,275335.5
1697,168670.97
1698,391361.28
1699,334603.12
1700,245954.03
1701,261505.6
1702,259250.02
1703,246804.92
1704,308136.34
1705,226659.34
1706,435966.53
1707,205776.62
1708,196983.95
1709,313266.38
1710,220906.48
1711,247257.06
1712,262424.28
1713,264304.0
1714,213735.22
1715,199732.45
1716,175257.98
1717,175305.06
1718,138333.66
1719,200987.25
1720,249478.2
1721,173188.47
1722,135258.14
1723,156899.14
1724,224625.6
1725,243801.73
1726,185336.5
1727,154403.16
1728,183713.55
1729,165731.5
1730,168816.05
1731,122233.62
1732,133653.98
1733,116854.31
1734,127384.48
1735,132571.86
1736,115278.95
1737,351182.38
1738,207357.92
1739,308680.9
1740,232698.34
1741,185621.73
1742,163062.83
1743,173188.67
1744,298873.94
1745,218199.77
1746,234476.53
1747,225245.8
