Id,SalePrice
1461,125309.81
1462,160698.56
1463,189987.69
1464,195702.88
1465,184808.98
1466,175756.98
1467,174677.53
1468,170631.78
1469,178034.08
1470,125544.14
1471,206007.77
1472,92887.21
1473,99027.59
1474,151742.92
1475,121387.05
1476,354979.62
1477,245912.06
1478,283175.34
1479,251808.28
1480,482680.66
1481,342070.16
1482,207499.6
1483,162853.39
1484,161167.75
1485,171809.25
1486,194016.83
1487,337662.16
1488,234788.14
1489,202758.6
1490,216283.77
1491,185796.31
1492,91582.58
1493,185542.56
1494,296954.03
1495,290126.84
1496,244533.2
1497,185592.12
1498,167852.02
1499,164163.06
1500,153098.83
1501,176031.75
1502,147109.5
1503,300218.72
1504,240366.98
1505,228155.97
1506,188778.88
1507,245106.39
1508,204343.02
1509,165781.66
1510,147164.22
1511,145793.0
1512,172344.55
1513,131163.22
1514,161419.25
1515,209008.8
1516,147671.75
1517,157320.08
1518,130527.83
1519,216726.45
1520,135297.62
1521,136482.38
1522,175366.38
1523,110572.98
1524,122390.79
1525,124144.59
1526,120512.72
1527,100330.01
1528,141170.44
1529,150968.67
1530,177688.39
1531,96793.05
1532,93107.875
1533,141623.94
1534,121678.42
1535,147437.03
1536,108831.81
1537,67730.12
1538,156875.56
1539,183291.4
1540,103212.69
1541,145076.08
1542,135892.2
1543,233604.86
1544,79866.65
1545,109612.51
1546,124833.77
1547,130671.43
1548,130041.766
1549,116501.78
1550,134108.84
1551,111538.875
1552,127795.34
1553,149327.55
1554,112058.11
1555,160390.81
1556,85273.22
1557,103891.43
1558,99892.45
1559,98294.73
1560,128407.27
1561,133250.47
1562,122342.24
1563,119907.53
1564,155399.34
1565,145417.25
1566,249167.92
1567,69671.555
1568,229812.56
1569,133964.14
1570,132463.28
1571,123416.13
1572,155416.69
1573,220940.31
1574,103933.15
1575,220665.1
1576,235305.72
1577,195330.7
1578,140076.12
1579,149514.52
1580,196742.22
1581,145388.69
1582,127661.35
1583,323758.38
1584,227767.48
1585,141722.3
1586,72050.84
1587,95475.71
1588,150894.97
1589,98462.85
1590,131283.73
1591,96840.14
1592,124517.38
1593,133736.28
1594,133194.06
1595,103001.375
1596,235389.67
1597,185866.31
1598,209915.89
1599,172077.19
1600,163673.45
1601,59020.637
1602,106580.05
1603,79097.96
1604,266099.06
1605,234938.66
1606,175778.11
1607,166786.11
1608,216107.28
1609,180526.52
1610,154616.16
1611,135845.69
1612,158615.81
1613,161479.9
1614,127520.08
1615,82436.94
1616,69309.45
1617,84684.695
1618,121602.44
1619,136580.94
1620,162849.66
1621,134503.47
1622,140279.72
1623,288004.72
1624,206521.38
1625,123385.89
1626,167343.27
1627,186766.11
1628,271191.66
1629,186903.66
1630,371068.7
1631,223655.56
1632,239674.78
1633,169462.05
1634,186299.14
1635,180700.14
1636,147786.98
1637,191512.3
1638,201626.72
1639,180556.3
1640,272580.12
